"Region","Waste_Generated_2023"
"NCR",9290
"CAR",862
"Region I - Ilocos Region",2584
"Region II - Cagayan Valley",1762
"Region III - Central Luzon",7095
"Region IV-A - CALABARZON",9725
"MIMAROPA Region",1614
"Region V - Bicol Region",2869
"Region VI - Western Visayas",4165
"Region VII - Central Visayas",4481
"Region VIII - Eastern Visayas",2017
"Region IX - Zamboanga Peninsula",2033
"Region X - Northern Mindanao",2726
"Region XI - Davao Region",3224
"Region XII - SOCCSKSARGEN",2582
"Region XIII - Caraga",1467
"BARMM",2144
